User,RecommendFundCode
2,3183
2,7085
2,6952
2,7101
2,6006
2,6357
2,6962
2,6780
2,6672
2,7001
2,6735
2,50018
2,570007
2,7235
2,6794
2,6855
2,6834
2,6965
2,1252
2,6626
2,6364
2,6713
2,7495
2,6925
2,2756
2,6666
2,6848
2,6624
2,6700
2,4117
2,6798
2,6
2,6199
2,7099
2,6805
2,7098
2,6871
2,7027
2,6432
2,6760
2,7259
2,7273
2,6477
2,6937
2,161912
2,160925
2,6881
2,6358
2,7373
2,6207
2,501311
2,7031
2,6804
2,7035
2,6930
2,7155
2,6544
2,6924
2,7188
2,6122
2,6766
2,7130
2,6153
2,6990
2,7006
2,6890
2,6825
2,7326
2,6856
2,6912
2,6887
2,6751
2,3276
2,6947
2,6974
2,6773
2,7026
2,6961
2,6985
2,6799
2,6911
2,6693
2,6431
2,6764
2,6943
2,7030
2,6365
2,2757
2,6359
2,6229
2,6701
2,6673
2,6208
2,3696
2,7034
2,7192
2,6932
2,6966
2,6797
2,6827
2,6526
2,6121
2,7100
2,6771
2,6955
2,6627
2,6814
2,6227
2,5029
2,6533
2,6614
2,6800
2,6665
2,6885
2,7000
2,6983
2,6824
2,6750
2,6670
2,6536
2,6616
2,6901
2,6449
2,6906
2,3822
2,6823
2,6854
2,6659
2,6898
2,6152
2,7011
2,6942
2,5680
2,6921
2,6992
2,6875
2,6765
2,6736
2,6789
2,6005
2,6593
2,7075
2,7024
2,6893
2,7309
2,6935
2,6850
2,6051
2,7022
2,6852
2,6643
2,6840
2,6574
2,166025
2,7048
2,6914
2,6815
2,6819
2,3275
2,7294
2,7041
2,6709
2,7079
2,6557
2,7058
2,7200
2,7328
2,6783
2,6316
2,5970
2,6658
2,6917
2,6615
2,6857
2,6349
2,7036
2,7063
2,6777
2,7046
2,7057
2,7197
2,6931
2,6915
2,6271
2,6884
2,6839
2,5855
2,6254
2,6944
2,7021
2,5350
2,6874
2,7446
2,6549
2,7404
2,6941
2,6755
2,6907
2,7522
2,7023
2,6451
2,7078
2,7448
2,6934
2,5497
2,6315
2,7233
2,6938
2,6787
2,6281
2,6867
2,6613
2,6510
2,7045
2,6796
2,7042
2,6817
2,6527
2,7427
2,7088
2,6644
2,7169
2,7094
2,6784
2,3297
2,7271
2,6776
2,6896
2,6868
2,6228
2,6809
2,6916
2,6052
2,501069
2,6969
2,6710
2,7198
2,6013
2,6603
2,6813
2,6356
2,7302
2,519335
2,6726
2,7199
2,6202
2,6879
2,7165
2,5914
2,6858
2,7147
2,6556
2,6841
2,6994
2,6929
2,6402
2,7292
2,6610
2,6270
2,7359
2,6637
2,6257
2,6528
2,6928
2,6785
2,6401
2,6781
2,6350
2,6826
2,6913
2,4960
2,6774
2,7148
2,7387
2,6793
2,7020
2,6014
2,7166
2,6429
2,6352
2,6835
2,7358
2,6383
2,6699
